Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,Dirt,Medal,Unofficial,Girl
41,,University of Science and Technology of China,about:blank,4,649,+1(53),-,+1(231),-,+1(277),-10,-,-,-,-,+1(88),0%,Bronze,N,N
42,29,Chengdu University of Technology,gogogo,4,687,+1(58),-,+1(275),-,-,+1(214),-,-,-,-,+1(140),0%,Bronze,N,N
43,30,Zhejiang A & F University,we are iron man,4,725,+1(28),-,+1(287),-,-,+1(197),-,-,-,-,+1(213),0%,Bronze,N,N
44,,Hangzhou Dianzi University,HDU-T11,3,124,+1(26),-,-12,-1,-5,+1(81),-2,-,-,-,+1(17),0%,Bronze,N,N
45,,Zhengzhou University,I lost heaven,3,154,+1(18),-,-6,-,-,+1(99),-,-,-5,-,+1(37),0%,Bronze,N,N
46,31,China University of Petroleum-Beijing,Run away,3,160,+1(38),-,-5,-,-1,+1(96),-,-,-,-,+1(26),0%,Bronze,N,N
47,32,Southwest University of Science and Technology,Do not kaibai,3,186,+1(17),-,-10,-,-,+1(116),-,-,-,-,+1(53),0%,Bronze,N,N
48,,Harbin Institute of Technology at Shenzhen,BTW,3,194,+1(20),-,-3,-,-,+1(132),-,-,-,-,+1(42),0%,Bronze,N,N
49,,Zhejiang A & F University,Study make us happy,3,210,+1(44),-,-13,-,-,+1(117),-,-,-,-,+1(49),0%,Bronze,N,N
50,33,Fuzhou University,three lads,3,220,+1(22),-,-9,-,-,+1(135),-,-,-,-,+1(63),0%,Bronze,N,N
51,34,Shandong University,we miss cym,3,227,+1(25),-,-,-,-,+1(145),-,-,-,-,+1(57),0%,Bronze,N,N
52,35,Qingdao University,Tomato_Nanoda,3,234,+1(23),-,-,-,-,+1(151),-,-,-,-,+1(60),0%,Bronze,N,N
53,,Beihang University,So You Also Play XCPC,3,235,+1(63),-,-9,-,-5,+1(112),-,-,-,-,+1(60),0%,Bronze,N,N
54,,Zhongshan (Sun Yat-sen) University,SYSU_Not Guangdong,3,240,+1(42),-,-7,-,-,+1(130),-,-,-,-,+1(68),0%,Bronze,N,N
55,,Fuzhou University,NewHandOfDiv1,3,262,+1(20),-,-2,-,-,+1(138),-,-,-,-,+1(104),0%,Bronze,N,N
56,36,Guangdong University of Technology,GDUT_WA_and_WA_again,3,281,+1(20),-,-5,-,-,+1(167),-,-,-,-,+1(94),0%,Bronze,N,N
57,37,Jiangxi University of Science and Technology,one codes two thinks three to serve tea,3,286,+1(46),-,-1,-,-,+1(160),-,-,-,-,+1(80),0%,Bronze,N,N
58,,Qingdao University,LOL automaton,3,301,+1(27),-,-11,-,-,+1(172),-,-,-,-,+1(102),0%,Bronze,N,N
59,,University of Science and Technology of China,FTCP,3,304,+1(47),-,-8,-,-,+1(142),-,-,-,-,+1(115),0%,Bronze,N,N
60,,Tongji University,rm-rf,3,305,+1(47),-,-1,-,-5,+1(166),-,-,-,-,+1(92),0%,Bronze,N,N
61,38,Jiaxing University,Our captain hasn't passed CET4 yet,3,310,+1(95),-,-6,-,-,+1(138),-,-,-,-,+1(77),0%,Honorable,N,N
62,,Shandong University,bengbengzhadan,3,312,+1(59),-,-20,-,-,+1(189),-,-,-,-,+1(64),0%,Honorable,N,N
63,39,Tianjin University,TJU_team2,3,339,+1(94),-,-,-,-1,+1(186),-,-,-,-,+1(59),0%,Honorable,N,N
64,40,Dalian University of Technology,Give me an AC please,3,348,+1(35),-,-,-,-,+1(250),-,-,-,-,+1(63),0%,Honorable,N,N
65,,Tongji University,asdfghjkl,3,354,+1(48),-,-5,-,-,+1(235),-,-,-,-,+1(71),0%,Honorable,N,N
66,,Harbin Institute of Technology at Shenzhen,CLW,3,359,+1(48),-,-3,-,-,+1(170),-,-,-,-1,+1(141),0%,Honorable,N,N
67,,South China University of Technology,FishBattle,3,375,+1(56),-,-2,-,-1,+1(210),-,-,-,-,+1(109),0%,Honorable,N,N
68,41,jialidun,CityU2,3,382,+1(46),-,-,-,-,+1(178),-,-,-,-,+1(158),0%,Honorable,N,N
69,,Zhejiang A & F University,studying agriculture can't save zafu,3,402,+1(36),-,-,-,-,+1(220),-,-,-,-,+1(146),0%,Honorable,N,N
70,,Dalian University of Technology,Three tiny in the northeast,3,408,+1(42),-,-6,-,-,+1(270),-,-,-,-,+1(96),0%,Honorable,N,N
71,,Guilin University of Electronic Technology,only,3,419,+1(132),-,-3,-,-,+1(193),-,-,-,-,+1(94),0%,Honorable,N,N
72,,Tianjin University,TJU_team1,3,437,+1(42),-,-7,-,-,+1(293),-,-,-,-,+1(102),0%,Honorable,N,N
