Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach
79,北京邮电大学,开局一套板，AC全靠蒙,4,1101,Bronze,陈瑞龙,凌晨,向阳曦,杨亚
80,武汉大学,万事皆允,4,1121,Bronze,吴靖盛,齐童,林朝洋,董文永
81,桂林电子科技大学,魔法少女,4,1140,Bronze,傅秋雨,庞靖光,周振杰,赵龙阳
82,大连海事大学,脸滚键盘,3,200,Bronze,薛崇祥,张宇豪,董本禹,谢益武
83,河南工业大学,你是哪块小饼干,3,212,Bronze,陈丁山,袁珂晨,张宇,程立
84,南京邮电大学,水完比赛吃什么,3,220,Bronze,索玉聪,刁煜凡,曹宇臣,陈志
85,武汉大学,万物皆虚,3,222,Bronze,管浩博,岑洋,刘瑾俐,董文永
86,重庆大学,打不好就走回去,3,253,Bronze,凌玉华,陈畅与,任鸿翔,李佳
87,湖南大学,乌龙茶,3,254,Bronze,陈安祺,周国浩,朱伟劲,吴昊
88,浙江理工大学,普通的队,3,259,Bronze,王金辉,徐鑫彪,林苗镔,叶海荣
89,北京交通大学,滑稽仓库,3,259,Bronze,郑栩僮,董舜尧,骆艺元,许华婷
90,合肥工业大学,1978的回忆,3,284,Bronze,王文宇,宋翎宇,王咏瑄,曹力
91,哈尔滨工程大学,马上就要被楼下超过了,3,296,Bronze,方福鑫,王凯,孙博文,国林
92,浙江师范大学,懒得想队名,3,297,Bronze,陈卓丞,余凡,余慧,韩建民
93,东北师范大学,绯色月下,3,300,Bronze,陈敏锐,王长虎,王储,周治国
94,武汉科技大学,幻影,3,304,Bronze,汪志,范磊超,丁攀,李顺新
95,青岛大学,我爱中华,3,329,Bronze,马荣坤,马明灿,曾檄,杜祥军
96,中国地质大学（北京）,反秀联萌,3,330,Bronze,郝进,王德虎,徐翔,张玉清
97,华中师范大学,皮卡丘,3,339,Bronze,朱有为,丁舒怡,袁丞蕾,叶俊民
98,长安大学,米瑞特之阻碍,3,341,Bronze,李蔚青,孙连鹏,王瑀治,荆树旭
99,上海大学,心动网络-匠心队,3,347,Bronze,蔡盛梁,苗伟华,黄坤,沈云付
100,福州大学,我希望这是一个幸运数字,3,356,Bronze,蔡鸿毅,郑钧兰,梁洁琳,傅仰耿
101,浙江师范大学,村里最好的键盘队,3,367,Bronze,黄正结,万昱君,苏丁力,韩建民
102,南开大学,世界终焉,3,371,Bronze,邵睿智,温佩松,孙宋源,刘晓光
103,浙江工业大学,公理,3,378,Bronze,钱滔,涂再立,张水强,官馨馨
104,浙江中医药大学,ZCMU-滨文路548号,3,381,Bronze,陈健,黄哲,周期律,罗杰
105,中国矿业大学,矿里有家,3,397,Bronze,范艺杰,冷佳业,张钰炳,毕方明
106,南京邮电大学,以上队伍成绩无效,3,403,Bronze,葛宇轩,张松涛,崔明浩,陈志
107,西安电子科技大学,李先生说的,3,408,Bronze,董谨豪,李弘政,童彤,张淑平
108,台州学院,脑子是个好东西,3,441,Bronze,黄睿博,詹志龙,陶源,华晓锋
109,浙江理工大学,让我康康,3,443,Bronze,刘刚杰,崔哲豪,刘智慧,叶海荣
110,广东工业大学,一切都是命运石之门的选择,3,450,Bronze,葛俊辰,刘庆崧,邱逸铭,孙宣东
111,山东科技大学,胜利号,3,453,Bronze,隋金禧,范家铭,渠家辉,吴振寰
112,四川大学,明远湖捞鱼小队,3,460,Bronze,林义杰,钱梦璋,张蔚琪,左劼
113,西安电子科技大学,让我莽一发好不好,3,467,Bronze,秦宏博,王祎明,黄晨晰,张淑平
114,大连理工大学,海棠酒满,3,468,Bronze,刘洁,武根泽,王镜潼,梁冰
115,哈尔滨工业大学,金沙咸蛋黄香辣鸡翅,3,470,Bronze,鲁国山,喻思成,王之品,孙大烈
116,北京师范大学,满星园,3,473,Bronze,袁宇昊,莫荣康,解书照,冯速
117,湖南师范大学,巨巨又双叒叕A了一道题,3,474,Bronze,安浩,李隆意,宋杰,瞿绍军
118,四川师范大学,四川师范大学1队,3,486,Bronze,任力,李英彦,周香君,徐勇
119,华中农业大学,第一次，好紧张,3,498,Bronze,林中龙,金钰恒,詹晔康,章英
120,中国海洋大学,[闪照]请使用新版手机QQ查看闪照,3,505,Bronze,陈尊龙,谢哲勇,苏宇恒,刘培顺
121,华东交通大学,我为大佬续一秒,3,508,Bronze,蓝志毅,黄勇,李煌尧,周娟
122,东北大学,谜,3,541,Bronze,茅晓璐,陈明,杜志聪,李芳芳
123,哈尔滨工业大学(深圳),南国小鸡,3,549,Bronze,刘颂唐,宁之涵,廖儒,唐琳琳
124,山东师范大学,教练喊我们回去搬砖,3,553,Bronze,宋俊阳,任耀辰,陈仕博,李圣涛
125,东南大学,火箭少女707的wa掘机,3,554,Bronze,杨航源,孔令海,冉雨杭,倪庆剑
126,中国人民解放军信息工程大学,不忘初心,3,556,Bronze,喻彬,赵江涛,韩济阳,周刚
127,南阳师范学院,稻花香里说丰年,3,639,Bronze,文成龙,王永忠,胡会平,兰义华
128,成都东软学院,大连东软你们好,3,645,Bronze,刘鑫,刘一洁,袁堃,黄婧
129,西北大学,隐,3,653,Bronze,范凡,黄德翔,郄博达,刘晓宁
130,长春理工大学,幻想乡乐园,3,663,Bronze,陈俊超,付志强,赵珏,王睿
131,南阳理工学院,复读机天下第一,3,666,Bronze,贺鹏程,程天祥,高胤润,赵东江
132,北京林业大学,wrong answer不相信嘤嘤嘤,3,693,Bronze,廖嘉伟,史金明,庄超群,徐艳艳
133,宁波大学,我们还可以抢救一下,3,716,Bronze,梅杰,李文浩,李红旭,陈叶芳
134,武汉理工大学,未命名,3,734,Bronze,王熠弘,李劲巍,刘晨寅,赵广辉
135,青岛大学,戎码一生,3,750,Bronze,段永成,谷雨,韩在畅,张志梅
136,合肥工业大学宣城校区,你就站在此地不要走动,3,751,Bronze,林煌坤,汤嘉,蹇相鸿,吕俊伟
137,贵州大学,Gzu_Dream,3,766,Bronze,李想,吴聪,张翔玮,徐晶
138,南京大学,鳝阿克,3,831,Bronze,单启程,岳心淳,贺方泽,马骏
139,长沙理工大学,长理王1+1队,3,953,Bronze,杨栩,董彪,李文钧,陈曦
140,中国石油大学（北京）,我为石油献代码,3,1069,Bronze,许思睿,连浩丞,高宇翔,范江波
141,南开大学,以豹制豹,3,1429,Bronze,欧阳文豪,史浩森,诸佳昕,刘晓光
142,哈尔滨工业大学(威海),苍穹,2,46,Bronze,李旭,宋维晓,杨浩,董开坤
143,东北大学,边界,2,64,Bronze,唐乾轲,王恩贺,陈弘超,寇月
144,郑州轻工业学院,zzuli_信任,2,65,Bronze,包毅豪,郝军亮,朱志权,朱会东
145,东华大学,碧蓝幻想,2,82,Bronze,李雨宸,林翔,史子弘,黄永锋
146,深圳大学,你可曾看到那梦的延续,2,84,Bronze,陈钧鉴,林键铎,蔡威,张小健
147,天津大学仁爱学院,你猜啊,2,85,Honorable,李天麟,范泽宇,王文晖,冉娟
148,重庆大学,嘤嘤嘤大坏蛋人家超讨厌的啦,2,88,Honorable,吴智涵,符敦政,郑钰心,李佳
149,大连理工大学开发区校区,熵,2,91,Honorable,归宇通,衣泽民,张添钰,陆坤
150,东北林业大学,盛世美颜天团,2,94,Honorable,葛言琭,陆逸康,赵雪,陈宇
151,广东工业大学,下下下上上左上,2,121,Honorable,郑重,李欣,黄可思,孙宣东
152,江西师范大学,璇转跳跃我不停AC,2,126,Honorable,王莞原,李石平,刘平生,卢家兴
153,郑州大学,让我来朵蜜你吧！,2,135,Honorable,卢兆杰,陶映帆,杨舒棋,张卫星
154,南京大学,南大99队,2,136,Honorable,郑奘巍,张天昀,徐臣,马骏
155,哈尔滨理工大学,哈理工3队,2,141,Honorable,李纯杰,李鑫,柳祎宸,金恩海
156,西北大学,隠,2,142,Honorable,刘宇豪,梁皓然,张鉴曈,刘晓宁
157,东北农业大学,刷酱饼,2,143,Honorable,谢智勇,王冠,孙康菊,李晓明
158,重庆邮电大学,可以队,2,146,Honorable,梁炬鸿,马浩,钟明翰,甘玲
159,重庆邮电大学,已经没有什么好害怕的了,2,147,Honorable,官蜀清,刘茜,周星宇,甘玲
160,山东科技大学,光明号,2,152,Honorable,梁天心,上官祥正,邱鹏,吴振寰
161,中北大学,三人黑铁旷工,2,159,Honorable,肖龙,周枭棠,王永胜,潘广贞
162,哈尔滨理工大学,哈理工13队,2,170,Honorable,李金澎,吕思浓,魏敦豪,金恩海
163,南阳理工学院,皮杰猪,2,173,Honorable,张松超,朱成锐,潘坤,靳冰
164,北京化工大学,大佬们别虐我,2,173,Honorable,洪颐鼎,庞有鑫,王鑫,尤枫
165,湖南理工学院,一点寒光万丈芒,2,174,Honorable,高座栋,谢平福,王润虎,李文彬
166,哈尔滨理工大学,哈理工26队,2,180,Honorable,谢子华,王兴,杨旭,于波
167,吉首大学,喵星幼儿园,2,181,Honorable,廖嘉琪,曾诚,雷亮,石俊萍
168,常州大学,转发这个杨超越在你前面的人都会biu的一下消失,2,181,Honorable,黄志鑫,周倜,戚晔,林逸峰
169,深圳大学,爆零,2,185,Honorable,何嘉键,陈培豪,廖竞,张小健
170,大连理工大学,菜鸡互啄,2,185,Honorable,霍晨,梁家豪,吕嘉庆,梁冰
171,电子科技大学,UESTC_Myall,2,191,Honorable,袁海韵,孙宏源,金琪铠,杨鹏
172,南阳理工学院,自由之翼,2,197,Honorable,聂海隆,张晓阳,直庆伟,赵东江
173,中国石油大学（北京）,祖国盛开石油花,2,197,Honorable,陈哲,季来虎,王智健,范江波
174,武汉工程大学,黄龙山男子职业技术学院到此一游,2,203,Honorable,熊芯怡,刘一麟,刘子涵,陈灯
175,华南农业大学,scau_斟茶俾大佬,2,204,Honorable,黄诗诗,林晓玲,赵家怡,刘财兴
176,湖南科技大学,桐剑黑,2,204,Honorable,孙庞博,汤越凡,董亮作,陈燕晖
177,上海第二工业大学,老谈酸玥蛋蛋牛肉面,2,204,Honorable,谈云林,王诗玥,石其伟,蒋文蓉
178,北华大学,我思故我在,2,205,Honorable,林倩,欧阳隆,张丰,鲁静轩
179,河北工业大学,编码吧兄弟,2,205,Honorable,何军,刘培超,解孟轩,侯向丹
180,南京理工大学,维他柠檬茶,2,212,Honorable,任建,沙昊,韩小豪,余立功
181,湖南工业大学,队友说这题能A,2,217,Honorable,杨爽,夏涛,王振帆,彭成
182,南华大学,C.C.C.P@USC,2,218,Honorable,吴子灏,谢贤定,黄小桐,刘杰
183,中南大学,楼上名字不错,2,220,Honorable,周锐,刘平,罗泰帅,冯启龙
184,西南石油大学,增加获奖名额,2,222,Honorable,周易之,潘超凡,唐国根,郝晓玲
185,浙江财经大学,通往天国的倒计时,2,225,Honorable,房麒麟,辛金文,严世超,陈琰宏
186,北华大学,和班尼特福迪一起攻克难关,2,228,Honorable,高亓,柴银磊,秦鹏,曹洪宇
