Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
83,湘潭大学,XTU_哈尔滨太冷了,4,198,+1(10),,+1(61),,+2(32),,-9,,,,+1(75)
84,青岛大学,铁牌我来了,4,214,+1(12),,+2(89),,+1(16),,-4,,,-1,+1(77)
85,东北大学秦皇岛分校,uLTD,4,227,+1(21),,+3(48),,+1(15),,,,,,+1(103)
86,中北大学,老潘的AC梦工厂,4,233,+1(11),,+1(58),,+2(32),,,,,,+1(112)
87,南京邮电大学,从零开始,4,246,+1(6),,+1(65),,+3(33),,-2,,,,+1(102)
88,华侨大学,HQU_Masters,4,247,+1(19),,+1(69),,+1(29),,,,,,+2(110)
89,浙江大学宁波理工学院,雷霆之怒,4,283,+1(15),,+4(68),,+1(26),,-5,,,,+2(94)
90,东南大学,空姐不用scanf,4,289,+2(13),,+2(26),,+1(17),,-11,,,-3,+3(153)
91,中国地质大学（北京）,一起哈皮,4,294,+1(11),,+6(37),,+1(12),,,,,,+2(114)
92,福建师范大学,福州小学三年级,4,298,+1(21),,+3(54),,+1(29),,-3,,,,+1(154)
93,河南农业大学,会喵喵的汪,4,304,+1(20),,+1(49),,+1(16),,-3,,,-2,+3(179)
94,浙江工商大学,浙江工商大学,4,316,+2(62),,+1(49),,+1(13),,-1,,,-1,+2(152)
95,江南大学,三只小学生,4,322,+1(22),,+2(42),,+1(17),,-13,,,,+4(201)
96,西安邮电大学,破晓,4,343,+1(20),,+2(115),,+1(29),,-7,,,,+1(159)
97,南京理工大学,求求你们别秀了,4,349,+1(55),,+2(66),,+2(28),,-3,,,,+2(140)
98,浙江农林大学,铃羽世界第一软萌,4,350,+1(32),,+3(67),,+1(15),,-3,,,,+1(196)
99,黑龙江大学,一起A,4,364,+2(30),,+4(71),,+1(24),,,,,,+1(159)
100,河北工业大学,带你去现场偷键盘,4,402,+1(13),,+2(70),,+1(19),,-7,,,,+4(220)
101,浙江中医药大学,那年花开月正圆,4,408,+2(24),,+5(135),,+1(22),,-1,,,,+2(107)
102,南阳理工学院,好好学习,4,432,+2(33),,+1(65),,+1(41),,,,,,+2(253)
103,天津大学仁爱学院,暴鲤龙,4,446,+1(50),,+2(112),,+3(30),,-8,,,,+2(174)
104,广东药科大学,小姐姐我们走,4,467,+2(111),,+4(79),,+1(19),,-3,,,,+1(178)
105,武汉科技大学,黑化肥挥发会发灰,4,489,+3(151),,+2(49),,+1(4),,-4,,,-2,+2(205)
106,合肥工业大学,这游戏根本没有SSR,4,510,+1(22),,+2(69),,+2(29),,-1,,,,+6(250)
107,厦门大学,怕怕,4,516,+2(163),,+3(104),,+2(29),,-5,,,,+1(140)
108,南阳理工学院,蓝雨,4,536,+1(17),,+6(239),,+1(25),,,,,,+1(155)
109,西北大学,我不是赞助商派来的,4,547,+1(40),,+6(178),,+2(28),,-8,,,,+3(161)
110,东华大学,dhu,4,580,+3(195),,+1(44),,+2(17),,,,,,+1(264)
111,浙江理工大学,来包辣条压压惊,4,631,+1(118),,+6(168),,+1(13),,,,,-4,+2(212)
112,常州大学,其他喵打铁能报销吗？,4,900,+5(160),,+6(201),,+2(71),,-5,,,,+6(188)
113,西北民族大学,走错门的电子发烧友,3,213,+1(35),,+4(77),,+1(41),,,,,,-9
114,长春工业大学,冲过去就好了,3,229,+1(128),,+2(62),,+1(19),,,,,,
115,中山大学新华学院,对不起，我爱你,3,273,+1(10),,+4(112),,+3(51),,-4,,,,
116,山东科技大学,胜利号,3,396,+3(39),,-13,,+1(33),,,,,,+2(264)
117,广东工业大学,抓狗大队,3,475,+3(108),,+5(209),,+1(38),,,,,,
