Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
40,29,华南农业大学,SCAU_鬼火一响,5,435,+1(12),-11,-,-1,+1(47),-,+1(203),-,-,+1(67),+1(106),-,-,0%,Gold,N,N
41,,华中科技大学,路人ACMer的养成方法,5,447,+1(9),-1,-,-,+1(58),-,-1,-,-,+1(36),+1(127),-,+1(217),0%,Gold,N,N
42,,中国人民大学,它怎么WA了呢,5,461,+1(16),+1(223),-,-,+1(29),-,-2,-,-,+1(49),+1(144),-,-,0%,Gold,N,N
43,,华中科技大学,一壹一壹壹一壹一,5,469,+1(17),-2,-,-,+1(70),-,+1(216),-,-,+1(51),+1(115),-,-,0%,Gold,N,N
44,30,中山大学,卡布奇诺,5,470,+1(13),-4,-,-,+1(40),-,+1(270),-,-1,+1(57),+1(90),-,-,0%,Gold,N,N
44,30,厦门大学,叹为观止！,5,470,+1(18),-5,-,-1,+1(48),-,+1(285),-,-,+1(42),+1(77),-,-,0%,Gold,N,N
46,,北京邮电大学,见到你很高兴,5,485,+1(13),-2,-,-,+1(52),-,+1(204),-,-,+1(95),+1(121),-,-,0%,Gold,N,N
47,,中南大学,普通却自信,5,486,+1(15),-,-,-2,+1(61),-,+1(218),-,-,+1(70),+1(122),-,-,0%,Gold,N,N
48,32,兰州大学,奎恩先生,5,489,+1(25),-17,-,-,+1(40),-,+1(259),-,-,+1(33),+1(132),-,-2,0%,Gold,N,N
49,,南京理工大学,加力燃油器,5,492,+1(23),-2,-,-3,+1(59),-,+1(252),-,-,+1(43),+1(115),-,-,0%,Gold,N,N
50,33,中国科学技术大学,大小姐的下午茶时光,5,494,+1(10),-,-,-,+1(91),-,+1(208),-,-,+1(35),+1(150),-,-,0%,Gold,N,N
50,33,杭州师范大学,四面杵鸽,5,494,+1(21),-5,-,-,+1(38),-,+1(271),-,-,+1(55),+1(109),-,-,0%,Gold,N,N
52,35,中国科学院大学,骑士归来之时Ⅱ,5,508,+1(13),-2,-,-,+1(52),-,+1(252),-,-,+1(68),+1(123),-,-,0%,Silver,N,N
53,36,浙江师范大学,霞谷,5,525,+1(25),-,-,-,+1(58),-,+1(261),-,-,+1(37),+1(144),-,-,0%,Silver,N,N
54,,浙江大学,Refrain,5,527,+1(14),-,-,-1,+1(36),-,+1(177),-,-,+1(90),+1(210),-,-3,0%,Silver,N,N
55,,华中科技大学,春田花花初级中学,5,530,+1(21),-2,-,-,+1(43),-,+1(290),-,-,+1(48),+1(128),-,-,0%,Silver,N,N
56,37,南京大学,烟花,5,540,+1(18),-15,-,-,+1(45),-,+1(282),-,-,+1(101),+1(94),-,-,0%,Silver,N,N
57,38,长沙理工大学,小丑竟是我自己,5,548,+1(32),-13,-,-,+1(93),-,+1(227),-,-,+1(58),+1(138),-,-,0%,Silver,N,N
57,38,信息工程大学,人活着就是为了樱岛麻衣,5,548,+1(26),-2,-,-,+1(49),-,+1(290),-,-,+1(41),+1(142),-,-,0%,Silver,N,N
59,,武汉大学,队长说ghs不能太明显,5,549,+1(19),-3,-,-,+1(41),-,+1(279),-,-,+1(95),+1(115),-,-,0%,Silver,N,N
60,,华南理工大学,横渡珠江,5,554,+1(15),-7,-,-,+1(60),-,+1(243),-,-,+1(63),+1(173),-,-,0%,Silver,N,N
61,40,浙江工业大学,一路向北,5,565,+1(33),-,-,-,+1(61),-,+1(259),-,-,+1(79),+1(133),-,-,0%,Silver,N,N
62,41,济南大学,魔术师,5,566,+1(21),-,-,-,+1(88),-,+1(232),-,-,+1(54),+1(171),-,-,0%,Silver,N,N
63,42,合肥工业大学,临时队,5,573,+1(12),-6,-,-,+1(116),-,+1(219),-,-,+1(46),+1(180),-,-,0%,Silver,N,N
64,43,南京航空航天大学,yyb后援团,5,578,+1(21),-,-,-,+1(80),-,+1(194),-,-,+1(128),+1(155),-,-7,0%,Silver,N,N
65,,清华大学,焦哥要喝营养快线,5,603,+1(14),-7,-,-,+1(44),-,+1(281),-,-,+1(147),+1(117),-,-,0%,Silver,N,N
66,,北京邮电大学,莱鸡,5,604,+1(12),-1,-,-,+1(65),-,+1(272),-,-,+1(80),+1(175),-,-,0%,Silver,N,N
67,,杭州电子科技大学,Nowa,5,617,+1(54),-2,-,-,+1(65),-,+1(270),-,-,+1(86),+1(142),-,-,0%,Silver,N,N
68,44,桂林电子科技大学,海底捞不动,5,620,+1(34),-,-,-,+1(60),-,+1(266),-,-,+1(53),+1(207),-,-,0%,Silver,N,N
