Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
299,165,长安大学,塔塔开,2,403,,,,Honorable,N,N
300,165,南昌航空大学,逸一时误一世,2,404,,,,Honorable,N,N
301,165,河海大学,溪午闻钟,2,404,,,,Honorable,N,N
302,,宁波大学,错误答案重度依赖,2,404,,,,Honorable,N,N
303,168,鲁东大学,凯酱应援团,2,405,,,,Honorable,N,N
304,,青岛科技大学,奥卡姆剃刀,2,405,,,,Honorable,N,N
305,,武汉轻工大学,武汉轻工大学一队,2,406,,,,Honorable,N,N
306,169,天津大学,不Fe不改名,2,406,,,,Honorable,N,N
307,170,北京工业大学,啊对对对,2,407,,,,Honorable,N,N
308,,湘潭大学,面对疾风吧,2,407,,,,Honorable,N,N
309,,成都东软学院,nnd为什么不队,2,410,,,,Honorable,N,N
310,,浙大宁波理工学院,这天我相信了光,2,411,,,,Honorable,N,N
311,,北京航空航天大学,原来你也打XCPC,2,412,,,,Honorable,N,N
312,,长沙学院,飞天小女警,2,412,,,,Honorable,N,N
313,,青岛大学,LOL自动机,2,414,,,,Honorable,N,N
314,171,西南科技大学,可见光,2,415,,,,Honorable,N,N
315,,闽南师范大学,三个新铁匠,2,416,,,,Honorable,N,N
316,,北方工业大学,NCUT2,2,417,,,,Honorable,N,N
317,,西北大学,我是谁,2,419,,,,Honorable,N,N
318,172,南开大学,难♂铜,2,419,,,,Honorable,N,N
319,,深圳技术大学,破晓,2,420,,,,Honorable,N,N
320,,广东东软学院,三个寄俩,2,420,,,,Honorable,N,N
321,173,北方工业大学,好运来,2,421,,,,Honorable,N,N
322,,哈尔滨理工大学,哈理工05队,2,422,,,,Honorable,N,N
323,,桂林电子科技大学,我们队长考青大落榜了,2,423,,,,Honorable,N,N
324,,河北工业大学,只能打铁,2,424,,,,Honorable,N,N
325,,中山大学新华学院,a一题就溜,2,426,,,,Honorable,N,N
326,,武汉大学,最后轻语,2,426,,,,Honorable,N,N
327,,东华大学,大二陪跑队,2,430,,,,Honorable,N,N
328,174,西北农林科技大学,同一个梦想,2,431,,,,Honorable,N,N
329,175,河北工业大学,先打他一块铁,2,434,,,,Honorable,N,N
330,,河南财经政法大学,全队儿的希望,2,436,,,,Honorable,N,N
331,,中国矿业大学,大四单身狗,2,436,,,,Honorable,N,N
332,,四川旅游学院,红温兰博,2,439,,,,Honorable,N,N
333,,兰州理工大学,董芳洁、石树桃、许思沁 全球粉丝后援团,2,441,,,,Honorable,N,N
334,176,湖南人文科技学院,妈妈，我做到了,2,445,,,,Honorable,N,N
335,176,东北大学,东北大学_浮生六记,2,447,,,,Honorable,N,N
336,,天津理工大学,打铁还需自身硬,2,452,,,,Honorable,N,N
337,,西南大学,JK触发器,2,454,,,,Honorable,N,N
338,,国防科技大学,三个弱鸡的金牌之路,2,454,,,,Honorable,N,N
339,,杭州师范大学,我超勇的,2,454,,,,Honorable,N,N
340,,深圳大学,SZU-Dijkstra,2,455,,,,Honorable,N,N
341,178,北京师范大学,网络流,2,456,,,,Honorable,N,N
342,,江苏大学,三星金克斯,2,456,,,,Honorable,N,N
343,,湖南农业大学,湖南农大子弟小学17队,2,462,,,,Honorable,N,N
344,,南华大学,三个代表,2,463,,,,Honorable,N,N
345,,广东工业大学,难兄难弟,2,464,,,,Honorable,N,N
346,,武汉科技大学,终幕蔷薇,2,465,,,,Honorable,N,N
347,179,中国计量大学,只回韬韬,2,469,,,,Honorable,N,N
348,,东北林业大学,拿个牌子就退役,2,470,,,,Honorable,N,N
349,180,华北水利水电大学,用爆零给大家带来笑容,2,471,,,,Honorable,N,N
350,180,湖南工业大学,气球怎么全漏气了,2,473,,,,Honorable,N,N
351,182,重庆邮电大学,阿尔托莉雅,2,473,,,,Honorable,N,N
352,,中国石油大学（华东）,三院盟,2,475,,,,Honorable,N,N
353,,辽宁大学,非日常的日常,2,478,,,,Honorable,N,N
354,,石家庄铁道大学,Szz的航空母舰,2,484,,,,Honorable,N,N
355,,天津大学,铁匠打甜酱,2,485,,,,Honorable,N,N
356,183,华东师范大学,泠鸢yousa没有腿,2,487,,,,Honorable,N,N
357,184,中原工学院,wa了，但没有完全wa,2,494,,,,Honorable,N,N
358,,浙江理工大学,飞飞,2,495,,,,Honorable,N,N
359,,南京工业大学,非全菜,2,496,,,,Honorable,N,N
360,,华南农业大学,被虐中慢慢成佛,2,497,,,,Honorable,N,N
361,,中国民航大学,小虎队,2,502,,,,Honorable,N,N
362,,青岛科技大学,提拉塔嘛的喇嘛拿塔嘛打了别喇叭的哑巴一塔嘛,2,502,,,,Honorable,N,N
363,,电子科技大学中山学院,ZSC_现在可不是瞌睡的时候啦~,2,505,,,,Honorable,N,N
364,,哈尔滨理工大学,哈理工18队,2,505,,,,Honorable,N,N
365,,南京航空航天大学,幺鸡小分队,2,505,,,,Honorable,N,N
366,,南阳理工学院,队友上机我开摆,2,517,,,,Honorable,N,N
367,,燕山大学,雨无雪无梦,2,518,,,,Honorable,N,N
368,185,贵州大学,猎荒者小队,2,519,,,,Honorable,N,N
369,,兰州大学,络合物,2,520,,,,Honorable,N,N
370,186,青岛大学,均衡教派,2,521,,,,Honorable,N,N
371,187,中北大学,青草池塘处处WA,2,521,,,,Honorable,N,N
372,,浙江机电职业技术学院,漫步红尘,2,521,,,,Honorable,N,N
373,,乐山师范学院,wa说谎言，ac说真相,2,526,,,,Honorable,N,N
374,,安徽工程大学,刘华强买瓜,2,531,,,,Honorable,N,N
375,188,中国石油大学（北京）,石油滚滚流,2,536,,,,Honorable,N,N
376,,浙江农林大学,楼下大哥别过题了求求,2,542,,,,Honorable,N,N
377,189,浙江中医药大学,三花聚顶,2,546,,,,Honorable,N,N
378,,嘉应学院,吃饭不张口,2,560,,,,Honorable,N,N
379,,华南理工大学,路人选手的AC方法,2,561,,,,Honorable,N,N
380,,集美大学,三氧化二铁,2,582,,,,Honorable,N,N
381,,苏州大学,555我的炸鸡,2,588,,,,Honorable,N,N
382,190,河海大学常州校区,三哇,2,589,,,,Honorable,N,N
383,,中国科学技术大学,划水摸鱼队,2,594,,,,Honorable,N,N
384,,厦门大学,比奇堡三恶霸,2,599,,,,Honorable,N,N
385,,重庆大学,听取WA声一片,2,602,,,,Honorable,N,N
386,,山东师范大学,蒙古上单,2,605,,,,Honorable,N,N
387,191,郑州轻工业大学,这起名多是一件美事,2,611,,,,Honorable,N,N
388,192,湖北工业大学,一架飞机天上飞，两架飞机地上追,2,612,,,,Honorable,N,N
389,,广西大学,不死鸟,2,634,,,,Honorable,N,N
390,193,东南大学,首阳队,2,644,,,,Honorable,N,N
391,194,中国矿业大学（北京）,随缘,2,663,,,,Honorable,N,N
392,,国防科技大学,希望号,2,663,,,,Honorable,N,N
393,195,中国计量大学,沃斯尼蝶,2,666,,,,Honorable,N,N
394,,暨南大学,三人成wa,2,667,,,,Honorable,N,N
395,196,中南民族大学,找不到411,2,670,,,,Honorable,N,N
396,197,金陵科技学院,万万没想到,2,673,,,,Honorable,N,N
397,,中原工学院,这是什么,2,689,,,,Honorable,N,N
398,,中北大学,天晨破晓,2,709,,,,Honorable,N,N
399,,常熟理工学院,这AC多是一件美逝啊,2,744,,,,Honorable,N,N
400,,山东大学,问题不大,2,788,,,,Honorable,N,N
401,198,河南大学,怪兽暴打奥特曼,2,797,,,,Honorable,N,N
402,,西安工业大学,西北枢纽,2,827,,,,Honorable,N,N
403,199,湖南第一师范学院,男铜队,1,20,,,,Honorable,N,N
404,,河南科技大学,锟斤拷,1,23,,,,Honorable,N,N
405,,浙江工商大学,摸鱼组,1,24,,,,Honorable,N,N
406,200,肇庆学院,北岭山脚信步,1,25,,,,Honorable,N,N
407,,烟台大学,做的都队,1,25,,,,Honorable,N,N
408,201,沈阳航空航天大学,黎明前线,1,30,,,,Honorable,N,N
409,202,东北大学秦皇岛分校,该队名未通过审核,1,32,,,,Honorable,N,N
410,,辽宁工程技术大学,太阳石之光,1,33,,,,Honorable,N,N
411,203,湖北经济学院,举个小星星,1,34,,,,Honorable,N,N
412,204,徐州工程学院,队名我想想,1,34,,,,Honorable,N,N
413,205,浙江工业大学之江学院,三人游,1,35,,,,Honorable,N,N
414,205,浙大城市学院,半次元,1,35,,,,Honorable,N,N
415,,河南理工大学,NullNamespace,1,36,,,,Honorable,N,N
416,,上海大学,凑热闹队,1,39,,,,Honorable,N,N
417,207,绍兴文理学院元培学院,保一争二,1,42,,,,Honorable,N,N
418,,浙江师范大学,启明星,1,43,,,,Honorable,N,N
419,,浙江农林大学,陈莲仁不容逸,1,44,,,,Honorable,N,N
420,208,中国计量大学,已经没什么好怕的了,1,46,,,,Honorable,N,N
421,,华中农业大学,鸡汤来喽,1,46,,,,Honorable,N,N
422,,华北理工大学,衬衫尺寸没5X,1,47,,,,Honorable,N,N
423,209,北京工业大学,比完赛吃麦当劳,1,47,,,,Honorable,N,N
424,,西南科技大学,小丑,1,47,,,,Honorable,N,N
425,210,南方科技大学,南方科技大学-瓦伦西亚,1,47,,,,Honorable,N,N
426,,温州大学,三点共面,1,48,,,,Honorable,N,N
427,,华南农业大学,歪歪歪,1,48,,,,Honorable,N,N
428,211,西北师范大学,辉夜大小姐想让我拿牌～蒟蒻们的罚坐头脑战～,1,51,,,,Honorable,N,N
429,,西南民族大学,轨迹,1,52,,,,Honorable,N,N
430,,厦门大学,攻城狮,1,52,,,,Honorable,N,N
431,,江西理工大学,zlz,1,52,,,,Honorable,N,N
432,212,西安理工大学,德鲁比,1,53,,,,Honorable,N,N
433,,桂林电子科技大学,关于群友都有数理基础这件事,1,55,,,,Honorable,N,N
434,212,华中师范大学,六边形战士,1,56,,,,Honorable,N,N
435,,广东工业大学,宇宙年级舰队,1,57,,,,Honorable,N,N
436,,东华理工大学,给块牌子吧,1,58,,,,Honorable,N,N
437,,齐鲁工业大学,美味风蛇,1,58,,,,Honorable,N,N
438,,嘉应学院,菜狗,1,60,,,,Honorable,N,N
439,214,衡阳师范学院,雁去,1,61,,,,Honorable,N,N
440,,烟台大学,启迪星,1,61,,,,Honorable,N,N
441,,浙江科技学院,今天吃饭了吗,1,62,,,,Honorable,N,N
442,,福建农林大学,乌拉,1,62,,,,Honorable,N,N
443,,华南农业大学,你怎么知道我们学校双一流了,1,62,,,,Honorable,N,N
444,,武汉大学,去月球,1,62,,,,Honorable,N,N
445,215,温州大学,重生之我要拿牌子,1,63,,,,Honorable,N,N
446,215,武汉理工大学,AC防火墙,1,63,,,,Honorable,N,N
447,,阜阳师范大学,第七路军,1,65,,,,Honorable,N,N
448,,东北林业大学,线性发散,1,67,,,,Honorable,N,N
449,215,浙江农林大学暨阳学院,黎明男孩,1,69,,,,Honorable,N,N
450,218,江西师范大学,是否不过CET真的能变强,1,70,,,,Honorable,N,N
451,218,武汉工程大学,算法滴水我滴泪,1,70,,,,Honorable,N,N
452,218,战略支援部队信息工程大学,随机队,1,72,,,,Honorable,N,N
453,,周口师范学院,您的队伍名字（中文）,1,72,,,,Honorable,N,N
454,,广东财经大学,桥洞盖小被,1,73,,,,Honorable,N,N
455,221,山东工商学院,所向皆破,1,73,,,,Honorable,N,N
456,,华南农业大学,想做嘉然小姐的狗,1,73,,,,Honorable,N,N
457,,湖南工业大学,队名不能为空,1,74,,,,Honorable,N,N
458,,吉首大学,100%萌新,1,74,,,,Honorable,N,N
459,,大连海事大学,随随便便拿牌队,1,74,,,,Honorable,N,N
460,,广州中医药大学,这一波三杀,1,75,,,,Honorable,N,N
461,,武汉理工大学,御坂御坂网络,1,75,,,,Honorable,N,N
462,,中国海洋大学,银川办的蛮好的你把它去换了干什么,1,76,,,,Honorable,N,N
463,222,惠州学院,只k样例,1,77,,,,Honorable,N,N
464,222,浙江理工大学,公海收收米,1,77,,,,Honorable,N,N
465,,重庆科技学院,多A两个题吧,1,78,,,,Honorable,N,N
466,224,郑州轻工业大学,重生之我是Hao哥,1,79,,,,Honorable,N,N
467,,合肥工业大学,心废复苏,1,81,,,,Honorable,N,N
468,,曲阜师范大学,王佳琪天下第一！,1,83,,,,Honorable,N,N
469,225,武汉理工大学,点外卖,1,83,,,,Honorable,N,N
470,226,韶关学院,追梦者,1,83,,,,Honorable,N,N
471,,新疆师范大学,xjnu_01,1,83,,,,Honorable,N,N
472,227,山东理工大学,Excalibur,1,83,,,,Honorable,N,N
473,,中国计量大学,铁匠,1,84,,,,Honorable,N,N
474,,湖北工业大学,哇哈哈,1,84,,,,Honorable,N,N
475,,广州大学,逝华虚梦,1,85,,,,Honorable,N,N
476,227,湖南师范大学,磁铁必不可能吸起奖牌,1,86,,,,Honorable,N,N
477,,武汉纺织大学,寄汤来咯,1,87,,,,Honorable,N,N
478,,兰州理工大学,AC了个寂寞,1,87,,,,Honorable,N,N
479,,南开大学,罗翔说算法,1,88,,,,Honorable,N,N
480,,华东交通大学,心心向银,1,88,,,,Honorable,N,N
481,,南阳理工学院,HaveFun,1,88,,,,Honorable,N,N
482,,南华大学,国家汪汪大队,1,89,,,,Honorable,N,N
483,,吉首大学,世界上最幸福的珂朵莉,1,89,,,,Honorable,N,N
484,,山东科技大学,NCC_26531 埃克塞特号,1,91,,,,Honorable,N,N
485,229,惠州学院,青青草原,1,92,,,,Honorable,N,N
486,230,徐州工程学院,绿箭,1,93,,,,Honorable,N,N
487,,南昌大学,卢本伟牛逼,1,93,,,,Honorable,N,N
488,,安徽工业大学,陪你度过漫长岁月,1,94,,,,Honorable,N,N
489,,合肥工业大学宣城校区,面向样例编程,1,95,,,,Honorable,N,N
490,,成都理工大学,空,1,96,,,,Honorable,N,N
491,231,嘉兴学院,我们队长四级考了405,1,98,,,,Honorable,N,N
492,,厦门大学嘉庚学院,啊对对队,1,99,,,,Honorable,N,N
493,,浙江万里学院,呜哇呜,1,101,,,,Honorable,N,N
494,,湖南人文科技学院,天才卡题少年,1,101,,,,Honorable,N,N
495,,西北农林科技大学,陈老师你快支棱起来啊,1,102,,,,Honorable,N,N
496,,三峡大学,奖牌,1,102,,,,Honorable,N,N
497,,贵州大学,啊对对对,1,104,,,,Honorable,N,N
498,232,江西财经大学,啊对对对,1,104,,,,Honorable,N,N
499,,南京工业大学,打铁小分队,1,105,,,,Honorable,N,N
500,233,浙江理工大学,F1ow,1,106,,,,Honorable,N,N
501,233,内蒙古大学,晚安,1,107,,,,Honorable,N,N
502,,三峡大学,三角,1,109,,,,Honorable,N,N
503,,大连海事大学,海大渔业,1,109,,,,Honorable,N,N
504,233,安徽大学,超市里,1,110,,,,Honorable,N,N
505,,西南民族大学,渊渟岳峙,1,111,,,,Honorable,N,N
506,,浙江中医药大学,三个葫芦爷,1,114,,,,Honorable,N,N
507,,南昌理工学院,今晚打老虎,1,115,,,,Honorable,N,N
508,236,中国石油大学（北京）,都行 你们随便取一个,1,115,,,,Honorable,N,N
509,236,浙江机电职业技术学院,我是谁,1,117,,,,Honorable,N,N
510,,重庆科技学院,快乐小屋,1,118,,,,Honorable,N,N
511,238,江西理工大学,这一wa叫晚安,1,118,,,,Honorable,N,N
512,,湖南农业大学东方科技学院,以下犯上,1,118,,,,Honorable,N,N
513,,湖南师范大学,鲜花饼的头号粉丝,1,119,,,,Honorable,N,N
514,,郑州大学,郑在路上,1,119,,,,Honorable,N,N
515,,中国矿业大学（北京）,因为太笨太懒就只好摆烂制杖队,1,121,,,,Honorable,N,N
516,,沈阳航空航天大学,打铁冠军,1,121,,,,Honorable,N,N
517,,山东建筑大学,魔法少男,1,121,,,,Honorable,N,N
518,239,浙江育英职业技术学院,我们都有绿马,1,122,,,,Honorable,N,N
519,,兰州理工大学,K-ON,1,122,,,,Honorable,N,N
520,,中国石油大学胜利学院,不可以色色,1,126,,,,Honorable,N,N
521,,电子科技大学中山学院,新生一队,1,128,,,,Honorable,N,N
522,,天津工业大学,专注分母二十年,1,128,,,,Honorable,N,N
523,240,韶关学院,多AC一题,1,128,,,,Honorable,N,N
524,,重庆交通大学,HuangWangGuo,1,129,,,,Honorable,N,N
525,241,中南民族大学,吃五碗饭,1,130,,,,Honorable,N,N
526,,中国石油大学（华东）,那没办法嘛,1,130,,,,Honorable,N,N
527,,江西理工大学南昌校区,挺过第一轮,1,131,,,,Honorable,N,N
528,242,河南大学,大河河大,1,131,,,,Honorable,N,N
529,,嘉应学院,加入光荣的进化,1,132,,,,Honorable,N,N
530,,澳门科技大学,必须AC机,1,133,,,,Honorable,N,N
531,,华东交通大学,第四天灾,1,134,,,,Honorable,N,N
532,,华中科技大学,Reborn as an ACMer,1,134,,,,Honorable,N,N
533,,重庆大学,真正的嘉心糖,1,134,,,,Honorable,N,N
534,,东北师范大学,三个铁沸物,1,135,,,,Honorable,N,N
535,243,天津商业大学,什么都,1,136,,,,Honorable,N,N
536,,西北农林科技大学,没道理啊不应该啊,1,136,,,,Honorable,N,N
537,,暨南大学,宁海航,1,137,,,,Honorable,N,N
538,,安徽工业大学,早上吃什么,1,138,,,,Honorable,N,N
539,244,天津大学,队栈溢出,1,139,,,,Honorable,N,N
540,,上海海洋大学,临港贝极星,1,139,,,,Honorable,N,N
541,,上海海事大学,渴能不秽,1,139,,,,Honorable,N,N
542,,成都信息工程大学,阿萨辛,1,140,,,,Honorable,N,N
543,245,西安理工大学,神奇的力量,1,140,,,,Honorable,N,N
544,,苏州大学,东吴三侠,1,141,,,,Honorable,N,N
545,,北京化工大学,红绿灯,1,141,,,,Honorable,N,N
546,,太原理工大学,好友成堆队,1,142,,,,Honorable,N,N
547,246,南昌航空大学,天动万象,1,142,,,,Honorable,N,N
548,,浙大城市学院,队名不知道叫什么,1,143,,,,Honorable,N,N
549,,南京航空航天大学,拿不到金牌也有女朋友队,1,143,,,,Honorable,N,N
550,247,中国人民大学,搬起我的小板凳,1,143,,,,Honorable,N,N
551,,内蒙古大学,WeallAC,1,145,,,,Honorable,N,N
552,247,大连东软信息学院,捏他王,1,146,,,,Honorable,N,N
553,,西南石油大学,wa了那咋办嘛,1,146,,,,Honorable,N,N
554,,山东师范大学,给我个气球吧,1,148,,,,Honorable,N,N
555,,青岛农业大学,九五至尊,1,148,,,,Honorable,N,N
556,249,宁波大学,三个核桃,1,149,,,,Honorable,N,N
557,,常熟理工学院,钝角,1,150,,,,Honorable,N,N
558,,湖北文理学院,卧龙山,1,151,,,,Honorable,N,N
559,,湖南文理学院,木已成舟,1,151,,,,Honorable,N,N
560,250,北京师范大学,谢谢卡尔,1,151,,,,Honorable,N,N
561,,湖南科技大学,摸鱼大师,1,152,,,,Honorable,N,N
562,,合肥学院,菲尼克斯,1,152,,,,Honorable,N,N
563,,华南理工大学,oOvO,1,154,,,,Honorable,N,N
564,,河海大学,肉蛋葱鸡,1,155,,,,Honorable,N,N
565,251,西南交通大学,我们的愿望是全员脱单,1,156,,,,Honorable,N,N
566,251,湖南文理学院,狂点技能树,1,158,,,,Honorable,N,N
567,,重庆交通大学,重交吴彦组,1,158,,,,Honorable,N,N
568,,广西外国语学院,哒咩哒咩,1,158,,,,Honorable,N,N
569,,南阳师范学院,红烧杰尼龟,1,159,,,,Honorable,N,N
570,,青岛农业大学,咏唱猫皮,1,163,,,,Honorable,N,N
571,253,河南大学,鸡汤来喽！,1,164,,,,Honorable,N,N
572,254,山东财经大学,魁拔,1,166,,,,Honorable,N,N
573,254,惠州学院,代码只有一行,1,169,,,,Honorable,N,N
574,254,苏州大学,哪里签到啊,1,169,,,,Honorable,N,N
575,,黑龙江大学,世界终焉即是AC开始,1,170,,,,Honorable,N,N
576,,广西大学,步履蹒跚的残疾芥末火锅,1,171,,,,Honorable,N,N
577,,贵州大学,把题做队,1,172,,,,Honorable,N,N
578,,西北工业大学,芜湖起飞,1,172,,,,Honorable,N,N
579,,合肥学院,三只松鼠,1,174,,,,Honorable,N,N
580,,南阳理工学院,AC小兔队,1,180,,,,Honorable,N,N
581,,浙江财经大学,读题困难户,1,180,,,,Honorable,N,N
582,257,湘潭大学,签到成功队,1,182,,,,Honorable,N,N
583,258,黑龙江工程学院,蒟蒻渴望AC,1,184,,,,Honorable,N,N
584,,湖北经济学院,一点浩然气,1,184,,,,Honorable,N,N
585,259,华南师范大学,123456,1,185,,,,Honorable,N,N
586,260,河海大学,你甚至能在可每队发现一只猫猫,1,186,,,,Honorable,N,N
587,,重庆大学,随机字符串,1,190,,,,Honorable,N,N
588,261,浙江工业大学之江学院,蔚总的两个手指挂件,1,190,,,,Honorable,N,N
589,,广西大学,转发教务处通知，下周继续线上教学,1,197,,,,Honorable,N,N
590,262,桂林电子科技大学,灰化肥不会挥发,1,197,,,,Honorable,N,N
591,,浙江中医药大学,ZCMU-咩咩咩咩咩,1,198,,,,Honorable,N,N
592,,福州职业技术学院,你没事就吃溜溜梅,1,201,,,,Honorable,N,N
593,,华中农业大学,通通拿下,1,203,,,,Honorable,N,N
594,,中国海洋大学,张可的家,1,203,,,,Honorable,N,N
595,,合肥学院,没有人能拒绝我龙傲天,1,204,,,,Honorable,N,N
596,,长安大学,纯爱溜溜球,1,205,,,,Honorable,N,N
597,263,华北电力大学（保定）,华北电力大学（保定）代表队,1,207,,,,Honorable,N,N
598,264,西安邮电大学,喵喵喵,1,207,,,,Honorable,N,N
599,,西南石油大学,三元运算律,1,207,,,,Honorable,N,N
600,,江苏理工学院,三保零,1,209,,,,Honorable,N,N
601,,福建师范大学,想成为男铜,1,210,,,,Honorable,N,N
602,,济南大学,风向仪,1,211,,,,Honorable,N,N
603,265,山东科技大学,NCC_26136 朱可夫号,1,212,,,,Honorable,N,N
604,,中南林业科技大学,邪恶彩虹暴龙战神-至臻,1,214,,,,Honorable,N,N
605,,西南交通大学,唯,1,216,,,,Honorable,N,N
606,266,西安理工大学,wa自动机,1,216,,,,Honorable,N,N
607,,华南师范大学,两肉一菜,1,220,,,,Honorable,N,N
608,,中国石油大学（华东）,金添我温柔不了,1,220,,,,Honorable,N,N
609,267,三峡大学,智慧,1,220,,,,Honorable,N,N
610,,长沙理工大学,霸道数学爱上我,1,221,,,,Honorable,N,N
611,268,中北大学,AKA小白菜,1,222,,,,Honorable,N,N
612,269,宁夏大学,这次一定做点事,1,222,,,,Honorable,N,N
613,270,郑州大学,重生之AK战神,1,224,,,,Honorable,N,N
614,,乐山师范学院,啊对对队,1,226,,,,Honorable,N,N
615,,河北师范大学,啊对对队,1,228,,,,Honorable,N,N
616,,湖南理工学院,创建新队,1,232,,,,Honorable,N,N
617,,肇庆学院,北岭山巅远眺,1,235,,,,Honorable,N,N
618,271,云南大学,云大第一深情队,1,236,,,,Honorable,N,N
619,,西南石油大学,零一,1,236,,,,Honorable,N,N
620,,长江师范学院,妙wa种子,1,245,,,,Honorable,N,N
621,,肇庆学院,北岭山间戏水,1,247,,,,Honorable,N,N
622,,兰州大学,先生请问你要买朵花吗,1,248,,,,Honorable,N,N
623,,南京师范大学,卡其色,1,248,,,,Honorable,N,N
624,,东华理工大学,阿波罗,1,248,,,,Honorable,N,N
625,,广州中医药大学,一路AC,1,249,,,,Honorable,N,N
626,272,浙江育英职业技术学院,派大星队,1,249,,,,Honorable,N,N
627,,武汉商学院,我想要只冰墩墩,1,249,,,,Honorable,N,N
628,,黄河科技学院,我每天都要看妞保持心情愉悦,1,253,,,,Honorable,N,N
629,273,河南师范大学,河狮,1,256,,,,Honorable,N,N
630,,浙江育英职业技术学院,三打排骨精,1,257,,,,Honorable,N,N
631,274,湖南人文科技学院,听说集齐七块精铁可以晋升全职铁匠,1,258,,,,Honorable,N,N
632,,广东技术师范大学,夏日弥光,1,260,,,,Honorable,N,N
633,275,长江师范学院,上台领奖,1,263,,,,Honorable,N,N
634,,重庆交通大学,线段树守卫,1,263,,,,Honorable,N,N
635,,郑州轻工业大学,远枫,1,264,,,,Honorable,N,N
636,276,湖北中医药大学,别看榜了快写题,1,266,,,,Honorable,N,N
637,,华北理工大学,追光者,1,266,,,,Honorable,N,N
638,,湖南中医药大学,沉迷于乃万,1,276,,,,Honorable,N,N
639,277,湖南大学,看看JK,1,276,,,,Honorable,N,N
640,,湖南师范大学,编译与魔法,1,280,,,,Honorable,N,N
641,,山东工商学院,欸嘿是什么意思啊,1,284,,,,Honorable,N,N
642,,南京邮电大学,樱花庄的AC男孩,1,288,,,,Honorable,N,N
643,,安阳工学院,稳重,1,295,,,,Honorable,N,N
644,278,长江师范学院,想不出啥名,1,295,,,,Honorable,N,N
645,,东北大学,东北大学_没人比我更懂评测机,1,296,,,,Honorable,N,N
646,279,浙江工商大学,且共从容,1,298,,,,Honorable,N,N
647,,宜春学院,Bo_bo 粉丝俱乐部,1,298,,,,Honorable,N,N
648,,西北师范大学,清纯大学生,1,299,,,,Honorable,N,N
649,,西安工业大学,WA着上榜,1,302,,,,Honorable,N,N
650,,山西大学,登崇俊良队,1,302,,,,Honorable,N,N
651,,电子科技大学中山学院,交个朋友,1,305,,,,Honorable,N,N
652,,洛阳师范学院,德光带我走吧,1,308,,,,Honorable,N,N
653,280,山东科技大学,NCC_32591 斯台克号,1,310,,,,Honorable,N,N
654,,重庆邮电大学移通学院,大佬带新手,1,310,,,,Honorable,N,N
655,,上海大学,待会去码头整点薯条,1,316,,,,Honorable,N,N
656,,中国矿业大学徐海学院,伊蕾娜今天吃什么,1,323,,,,Honorable,N,N
657,,湖北第二师范学院,HUE_TBT,1,324,,,,Honorable,N,N
658,,哈尔滨工业大学（威海）,球达不溜球,1,325,,,,Honorable,N,N
659,,韶关学院,SGU经验宝宝,1,326,,,,Honorable,N,N
660,,江西财经大学,破茧,1,330,,,,Honorable,N,N
661,,韩山师范学院,玫瑰常开警告常在,1,344,,,,Honorable,N,N
662,,安阳师范学院,流汗黄豆,1,352,,,,Honorable,N,N
663,,大连理工大学,三方旅人,1,352,,,,Honorable,N,N
664,,成都东软学院,Ac菜鸟,1,353,,,,Honorable,N,N
665,,西南交通大学,CF800_Plus,1,357,,,,Honorable,N,N
666,,上海海事大学,海事铁矿加工有限公司,1,360,,,,Honorable,N,N
667,281,贵州工程应用技术学院,三人组,1,367,,,,Honorable,N,N
668,282,北京化工大学,肝，都能肝,1,369,,,,Honorable,N,N
669,,重庆邮电大学移通学院,三个打铁匠,1,370,,,,Honorable,N,N
670,,浙江中医药大学,ZCMU-滴！绿码通行！,1,371,,,,Honorable,N,N
671,,国防科技大学,你说的都队,1,377,,,,Honorable,N,N
672,283,绍兴文理学院元培学院,冲动是魔鬼,1,387,,,,Honorable,N,N
673,,惠州学院,施工队,1,393,,,,Honorable,N,N
674,284,广州中医药大学,不爱取名字,1,394,,,,Honorable,N,N
675,,南昌理工学院,AKA南理三壮士,1,394,,,,Honorable,N,N
676,,大连大学,三位一体,1,398,,,,Honorable,N,N
677,285,南昌理工学院,写不出对象,1,398,,,,Honorable,N,N
678,286,战略支援部队信息工程大学,白金之心,1,399,,,,Honorable,N,N
679,,太原理工大学,过题就是胜利,1,399,,,,Honorable,N,N
680,,齐鲁工业大学,滴滴嘟嘟,1,401,,,,Honorable,N,N
681,,华中农业大学,啊对对对,1,422,,,,Honorable,N,N
682,,战略支援部队信息工程大学,三人成行,1,434,,,,Honorable,N,N
683,,北京电子科技学院,电科院,1,434,,,,Honorable,N,N
684,,大连理工大学(盘锦),梦想还是要有的,1,438,,,,Honorable,N,N
685,,南华大学,陪可莉去打ACM,1,445,,,,Honorable,N,N
686,,厦门大学嘉庚学院,不知道叫什么,1,451,,,,Honorable,N,N
687,,湖南涉外经济学院,AC自动机不能自动AC,1,474,,,,Honorable,N,N
688,,山东工商学院,积极向上,1,475,,,,Honorable,N,N
689,,广东东软学院,老打印机,1,482,,,,Honorable,N,N
690,,湖南文理学院,五点钟,1,487,,,,Honorable,N,N
691,,乐山师范学院,不拿牌子不是人,1,499,,,,Honorable,N,N
692,,内蒙古大学,曲背之李四吃香蕉,1,527,,,,Honorable,N,N
