Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
64,,浙江师范大学,星际猫,4,752,温启涛,倪伟聪,厉文浩,Silver,N,N
65,,吉林大学,H-Z-J树,4,784,黄哲霖,郑佳策,蒋致欧,Silver,N,N
66,40,浙江大学,超对称夸克,4,814,徐琪杰,杨予晟,任庭旭,Silver,N,N
67,41,浙江农林大学,临阵磨枪，不快也光,4,816,朱泽华,戴振龙,盛洪涛,Silver,N,N
68,42,浙江师范大学,巴巴托斯,4,854,邓鹏,陈骏鹏,方天笑,Silver,N,N
69,,福州大学,两极反转,4,858,叶林忠,丁凌烁,潘泓岳,Silver,N,N
70,43,南华大学,青春猪头ACMer不会梦到怀梦出题人,4,859,周楷傑,余伟豪,王思进,Silver,N,N
71,44,东北大学秦皇岛分校,GNK48-101,4,867,刘泽铭,罗潇阳,吴一玄,Silver,N,N
72,,南京邮电大学,收收心找个电子厂上班了,4,886,张禹健,冯一帆,文超航,Silver,N,N
73,,哈尔滨工业大学,哥谭市委书记,4,892,胡罡沣,刘宇哲,谢明东,Silver,N,N
74,45,河海大学,艾派克斯,4,913,高康悦,张星宇,肖潇,Silver,N,N
75,46,吉林大学,柴郡猫猫QuQ,4,981,陈铭豪,黄昌盛,李光赫,Silver,N,N
76,,中山大学,中山大学_晴栀,4,1084,刘思然,谭嘉伟,谢泽熙,Silver,N,N
77,47,西南大学,做的全队,4,1356,徐畅,马博涵,何一,Silver,N,N
78,48,江西师范大学,Watch A-SOUL and become Au,3,270,陈哲,颜玮琦,张天福,Silver,N,N
79,49,兰州大学,一个猜想不一定对,3,322,王徐笙,孟戴浓达,狄农雨,Silver,N,N
80,50,武汉工程大学,用队长一年单身换牌子,3,354,刘典,罗云祥,符轩豪,Silver,N,N
81,51,电子科技大学,UESTC_七海大大大鲨鱼,3,383,诸人豪,彭帅康,李纪甫,Silver,N,N
82,52,华南理工大学,智能人工,3,385,谢丰泽,范天予,杨鸿飞,Silver,N,N
83,,西安交通大学,钻石海,3,401,何卓霖,田雨阳,史耀睿,Silver,N,N
84,,浙江财经大学,秃如其来,3,418,张垚垚,朱新宇,张维康,Silver,N,N
85,53,华南理工大学,写不出了，饮茶先,3,423,许一多,林靖沅,马家俊,Silver,N,N
86,,杭州电子科技大学信息工程学院,胜机,3,424,毛一枭,王权,梁孝铨,Silver,N,N
87,54,中南大学,摸鱼自动机,3,433,黄道煜,周霄羽,张皓然,Silver,N,N
88,54,南昌大学,超新星,3,437,赖澄宇,王福源,黄晨曦,Silver,N,N
89,56,香港中文大学（深圳）,icpc摆大烂,3,440,金德容,陈建文,苏哲楷,Silver,N,N
90,57,大连理工大学,梦觉流莺时一声,3,444,李胤驰,高盛轩,袁振,Silver,N,N
91,,齐鲁工业大学,生死时速,3,451,杨熠辰,王励翔,刘鑫龙,Silver,N,N
92,58,四川大学锦城学院,三核单线程,3,454,喻若舟,陈柯源,张智源,Silver,N,N
93,,青岛大学,蓝色空间,3,483,王宪泉,张锦峰,武彬,Silver,N,N
94,,浙江农林大学,学习使我快乐,3,493,张烨浩,薛卫东,张凌赫,Silver,N,N
95,,广西大学,这小家伙也许能改写战局,3,501,王利明,金珉瑞,陈嘉怡,Silver,N,N
96,59,西安电子科技大学,吾好梦中AC,3,505,王逸,王志利,欧心缘,Silver,N,N
97,60,哈尔滨工业大学,再也没有树树了,3,506,王晓亮,徐放,金义扬,Silver,N,N
98,61,西北工业大学,除了风暴都能击倒大树,3,522,孟祥瑞,徐浩洋,黄康宁,Silver,N,N
99,,四川大学,魔理沙,3,534,张新,向宇,朱奕杰,Silver,N,N
100,62,山东大学,追光者,3,542,战绪丰,庞天祥,褚瑞凡,Silver,N,N
101,63,香港中文大学,焦糖布丁,3,544,袁樂勤,鍾懷哲,劉汶楷,Silver,N,N
102,64,集美大学,抱歉，这没有集美,3,547,林贝宁,蔡万杰,张弛,Silver,N,N
103,65,杭州电子科技大学,杭电三队,3,549,高义雄,赵章恺,方博,Silver,N,N
104,,中国石油大学（北京）,云雾深处把井打,3,555,潘耀宇,陈若朋,夏方略,Silver,N,N
105,66,上海理工大学,教练叫我来爆0,3,556,刘斌然,,,Silver,N,N
106,,武汉科技大学,呐，你也想要KiraKira吗？,3,560,王印德,王忠齐,翁锦瑞,Bronze,N,N
107,67,深圳大学,SZU-Archimedes,3,561,郭泽森,苏梓瀚,陈俊明,Bronze,N,N
108,,武汉纺织大学,极东魔术昼寝结社,3,569,种佳琪,张亮,孟龙,Bronze,N,N
109,68,中国科学技术大学,一轮游队,3,577,潘廷岳,郑以勒,曹高翔,Bronze,N,N
110,,香港中文大学,破壞性演算法,3,585,周敬泓,鄭希哲,談知衡,Bronze,N,N
111,69,哈尔滨理工大学,哈理工17队,3,586,郑然,王令开,陈思艺,Bronze,N,N
112,,杭州师范大学,异世相逢，尽享编程,3,592,林宏磊,陈银桦,葛嘉辉,Bronze,N,N
113,,西南科技大学,寺传乘絮鸢,3,593,陆承长,潘俊杰,毛宝文,Bronze,N,N
114,70,湘潭大学,出签到题就算成功,3,594,李越,田楚天,蒋文彬,Bronze,N,N
115,71,杭州电子科技大学,杭电八队,3,594,冯军荣,王子习,李企峥,Bronze,N,N
116,72,湖北工业大学,百分之六十拿牌,3,598,徐億祥,贺鑫宇,颜潇冉,Bronze,N,N
117,,武汉理工大学,不会计数怎么办,3,600,罗越,徐亚萌,奚兆阳,Bronze,N,N
118,73,华东师范大学,加不出来,3,602,漆宇祥,范晨阳,王晨阳,Bronze,N,N
119,74,中南大学,行但不行,3,603,何晨,祖凌铠,叶则杨,Bronze,N,N
120,,成都理工大学,没有名字的队伍,3,615,陈永铿,汤昱力,雷笙达,Bronze,N,N
121,75,国防科技大学,湘江后浪,3,617,孙晓帆,张星宇,陈铭,Bronze,N,N
122,76,哈尔滨工程大学,噔噔咚,3,624,王昊宇,官毅,王洋,Bronze,N,N
123,76,太原理工大学,鸽剧魅影,3,625,桑坤,郭宇霄,赵云霄,Bronze,N,N
124,78,西南科技大学,勿以寄小而为之，勿以赢小而不麻,3,627,郭智超,黄小诚,杨展鹏,Bronze,N,N
125,78,山东大学（威海）,先占个位置,3,628,周润杰,陈格,尚书尧,Bronze,N,N
126,80,浙江工商大学,澳门牌王大战狙击美佐,3,631,王铭阳,陈侠,许嘉俊,Bronze,N,N
